LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(pixel),(pixel),(pixel),(sec),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID177911,177911,67,4413.4833984375,96.26709287863464,91.05450754650425,0.0,142.0,142,1.5,1,,3722.190476190476,3204.0,2083.0,6232.0,78166.0,1252.3779229548732,1125.047619047619,1092.0,309.0,2091.0,23626.0,544.2340926651395,0.31189802353464424,1.4132068405064189,0.22012278176219585,0.7458931398482717
ID177912,177912,,435.8405456542969,81.99546472097343,99.3178706976426,0.0,142.0,142,1.5,1,,470.14285714285717,457.0,293.0,690.0,9873.0,127.22903981178419,1054.857142857143,1059.0,305.0,1964.0,22152.0,521.613965084744,0.23669500681102915,1.4144906381476683,0.25277288825737493,0.8160797063004508
ID177918,177918,67,4347.775390625,96.2856320305361,91.01255467063447,0.0,143.0,143,1.5,1,,3729.6666666666665,3216.0,2131.0,6150.0,78323.0,1235.0681897504014,1122.857142857143,1073.0,302.0,2119.0,23580.0,558.5169008825325,0.3106121296422184,1.4313746016343494,0.22210992769960358,0.7307618739879422
ID177919,177919,68,4310.59912109375,82.0506981974623,99.40366754138425,0.0,143.0,143,1.5,1,,3702.190476190476,3518.0,1908.0,6112.0,77746.0,1302.2074573218977,1012.4761904761905,1066.0,299.0,1944.0,21262.0,504.88014607900936,0.3047750510818443,1.328165961055532,0.24603325763680317,0.791937128917648
ID177914,177914,68,4262.9267578125,82.08725940179689,99.40354569268376,0.0,144.0,144,1.5,1,,3714.5714285714284,3512.0,1869.0,6047.0,78006.0,1296.3750063707867,969.8571428571429,1018.0,289.0,1760.0,20367.0,485.0135344208743,0.3068465955495244,1.3455652371303315,0.23366269165247025,0.7574899071250436
ID177913,177913,67,4421.42138671875,96.2722601081671,91.04193026764617,0.0,144.0,144,1.5,1,,3739.5714285714284,3249.0,2135.0,6223.0,78531.0,1253.9244224206086,1117.2857142857142,1087.0,339.0,2086.0,23463.0,549.7607791446333,0.31308469815153867,1.422163634745396,0.21744206409433187,0.7259651070018294
ID177916,177916,67,4388.06689453125,96.2820561850359,91.0156746526736,0.0,145.0,145,1.5,1,,3737.4761904761904,3218.0,2111.0,6172.0,78487.0,1252.9465119887448,1123.0,1116.0,300.0,2037.0,23583.0,544.3621956014213,0.31166362371579814,1.4175537667604778,0.21684951916565082,0.7352641370655736
ID177917,177917,69,4421.115234375,82.0459077822803,99.36926070120846,0.0,145.0,145,1.5,1,,3732.6666666666665,3500.0,1934.0,6271.0,78386.0,1323.0594972764202,975.9047619047619,1027.0,274.0,1835.0,20494.0,498.7284736970513,0.3091935497340225,1.3325895333691733,0.24024721430030338,0.7580945409645833
ID177920,177920,71,4394.7900390625,96.33802090710078,91.04270505812151,0.0,146.0,146,1.5,1,,3741.6666666666665,3313.0,2119.0,6237.0,78575.0,1261.3617376999086,1108.6190476190477,1129.0,303.0,2060.0,23281.0,539.7430385091109,0.3108313540183049,1.4068034903879927,0.21644057501518527,0.7309254156415497
ID177921,177921,69,4350.0869140625,82.04310808212965,99.4058569909525,0.0,146.0,146,1.5,1,,3726.1428571428573,3524.0,1930.0,6162.0,78249.0,1306.7757759353472,963.8095238095239,1012.0,266.0,1801.0,20240.0,487.8368189310457,0.3087059325276118,1.3452138381464986,0.22837895247921344,0.7346328494971769
ID177922,177922,71,4424.02685546875,96.31407870558996,91.02703277956371,0.0,147.0,147,1.5,1,,3750.7619047619046,3317.0,2102.0,6242.0,78766.0,1268.0777935427268,1118.2857142857142,1131.0,322.0,2079.0,23484.0,543.2935801992458,0.313166088018439,1.4107779503639044,0.23130161226897364,0.773325642811342
ID177923,177923,69,4264.2216796875,82.05107390350067,99.41094685518863,0.0,147.0,147,1.5,1,,3717.3809523809523,3467.0,1978.0,6087.0,78065.0,1285.361251796182,946.3809523809524,981.0,265.0,1761.0,19874.0,477.5909836031744,0.3063440898451472,1.356418744381566,0.23264901073001304,0.7480000827128699
ID177928,177928,72,4403.9833984375,96.25225800502118,91.04915298176843,0.0,148.0,148,1.5,1,,3741.8571428571427,3175.0,2007.0,6217.0,78579.0,1252.2363708866744,1122.4285714285713,1142.0,295.0,2086.0,23571.0,550.7392823676709,0.311404002853817,1.4191182031497238,0.21901363380718727,0.732327330706316
